set,mem,time,mfops,IPM,cacheRefs,cacheMiss,Cycles,instructions
1,102400,4965,437,21,585759,418,2999464,2169845
2,102400,2751,974,26,519181,314,1669187,2680890
5,102400,3773,1117,41,826284,305,2281704,4216911
6,102400,4117,1148,46,929116,323,2488725,4730045
7,102400,4476,1171,51,1032772,475,2704424,5244478
8,102400,4794,1199,56,1133097,292,2894451,5752170
10,102400,5496,1234,66,1340992,386,3316126,6782980
100,102400,38660,1368,516,10671471,8109,23215879,52890867
200,102400,72891,1428,1016,20931649,8936,43752798,104137706
500,102400,175493,1469,2518,51702534,9766,105320035,257855255
1000,102400,346550,1483,5019,102985994,11120,207923615,514046797
10000,102400,3424724,1496,50054,1026100106,34916,2054833687,5125544661
